# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-146.025083709626,0.0,1.6623582795031635,0.601555039205432,0.0,0.0
 0.06359065092072914,0.010109427211305075,0.15897662730182285,2.5,-146.025083709626,0.0,1.6623582795031635,0.601555039205432,0.0,0.0
 0.09012192751817692,0.020304904548978833,0.38428144609726506,8.492045905439612,-146.99207680798773,0.0,1.606710736662271,0.6223895671957528,-36.44728872393433,-1373.7480211351926
 0.11061383229377973,0.030588549736791065,0.5018393995298916,5.736799712859704,-147.93471835027975,0.0,1.552226065680336,0.6442360569184895,-46.00067942021273,-466.20315685111154
 0.12800365406038086,0.040962338632024135,0.5965437158854012,5.445962450138423,-148.85332299305833,0.0,1.4989888894384904,0.6671163522596837,-52.824270145358305,-392.38991731651646
 0.14342678922814814,0.05142810967073907,0.6785761082213225,5.3187883944219285,-149.7482425713241,0.0,1.44706737201181,0.6910528281829291,-58.02449168286152,-337.1701979485427
 0.15746436850511722,0.06198756837178838,0.752227894333164,5.246758337648649,-150.61986084354461,0.0,1.3965146684362473,0.7160683826685142,-62.091779146747804,-289.7427956513358
 0.1704608950671437,0.07264229186772944,0.8198131589306521,5.20025595107543,-151.46858859694274,0.0,1.3473703607064829,0.7421864315581782,-65.30419872937021,-247.17524080691808
 0.18264033884617337,0.08339373343461255,0.8827530847832923,5.167717589945199,-152.2948591202075,0.0,1.29966185545279,0.7694309068196892,-67.84140049871739,-208.31836127982186
 0.1941579017152023,0.09424322699612539,0.9419956014034392,5.143667744106849,-153.09912404322824,0.0,1.2534057260638458,0.7978262578553612,-69.82943632836093,-172.60907122889873
 0.20512629434662627,0.1051919915809469,0.9982104901545721,5.125171083872373,-153.88184953818276,0.0,1.208608985828059,0.8273974558569627,-71.36191429836532,-139.7176433686299
 0.2156303649445599,0.11624113571531021,1.0518916482279654,5.110510023033698,-154.64351287179687,0.0,1.1652702823817545,0.8581700015176306,-72.51125423356879,-109.41852727356628
 0.22573582944279239,0.12739166173556363,1.1034154859683802,5.098611523441267,-155.38459929480118,0.0,1.1233810083135802,0.8901699357559909,-73.33521612330901,-81.536270785408
 0.23549477277273345,0.1386444700082034,1.1530765055388152,5.088770155890935,-156.1055992524179,0.0,1.082926324555704,0.9234238537975088,-73.88094522535641,-55.92092131256431
 0.24494927070488134,0.1500003630471331,1.2011101086940366,5.080502793479266,-156.80700589758243,0.0,1.0438860964854308,0.9579589223065743,-74.18761421265364,-32.4363059252956
 0.2541338619862098,0.16146004952006482,1.247707831727728,5.0734672459972,-157.4893128877483,0.0,1.0062357436153286,0.9938028999119788,-74.28822571048144,-10.95437943246729
 0.26307728760790694,0.17302414813783348,1.293027873985294,5.067414229690437,-158.15301244533228,0.0,0.9699470057236812,1.0309841610922816,-74.21088804874152,8.647431645464485
 0.27180374642160676,0.1846931914220528,1.3372025850737836,5.062157747096556,-158.79859366189152,0.0,0.9349886293601386,1.0695317232727761,-73.97974715078227,26.48736479411074
 0.2803338219680186,0.19646762934799186,1.3803439209740624,5.057556133653021,-159.42654102623746,0.0,0.9013269787656512,1.1094752776284136,-73.61568616002224,42.67969126172363
 0.2886851799873408,0.20834783286080838,1.4225475048884013,5.053499540636889,-160.03733315726714,0.0,0.8689265765781731,1.150845223238531,-73.13686344382772,57.334713119312944
 0.2968731023615172,0.22033409726437972,1.4638957058721462,5.0499014394849935,-160.6314417230364,0.0,0.8377505791551991,1.1936727050769882,-72.55913510404233,70.55860001891017
 0.3049109020568907,0.23242664548286698,1.5044600110460153,5.046692715820932,-161.20933052839007,0.0,0.8077611919887078,1.2379896557520922,-71.8963929502105,82.45318108801555
 0.31281024995736767,0.2446256311959771,1.5443028800356462,5.0438174760254695,-161.77145475454932,0.0,0.7789200304338455,1.2838288411238015,-71.16083925425283,93.1157489484977
 0.3205814354260121,0.2569311418495059,1.5834792134584479,5.04123001321644,-162.3182603350246,0.0,0.7511884306875102,1.3312239102042214,-70.36321326798314,102.63890747274073
 0.3282335763101094,0.26934320154331104,1.6220375293403042,5.038892574754889,-162.85018345332432,0.0,0.7245277160635535,1.3802094493128858,-69.51298027002738,111.11047363525581
 0.3357747898811378,0.2818617737993056,1.660020915478121,5.036773694321587,-163.36765014906024,0.0,0.6988994231807979,1.4308210406711275,-68.61849102429505,118.61343500053454
 0.3432123332355232,0.29448676421242953,1.697467807791648,5.03484692851536,-163.8710760200379,0.0,0.6742654922562054,1.483095325928415,-67.68711750511189,125.22596169258095
 0.35055271956599876,0.3072180229877944,1.734412632003801,5.033089887757892,-164.36086600898258,0.0,0.6505884256606894,1.5370700746550694,-66.7253693325626,131.02146525399226
 0.35780181518123444,0.32005534736746555,1.7708863368680792,5.031483484314952,-164.83741426464454,0.0,0.6278314183969924,1.5927842581584166,-65.73899434577378,136.06869589576434
 0.36496492102691164,0.33299848395044956,1.8069168405203673,5.030011342640127,-165.30110406779465,0.0,0.6059584637957608,1.6502781291904711,-64.73306595489409,140.431875858255
 0.37204684162593704,0.3460471309095876,1.842529406632117,5.028659332420443,-165.7523078136787,0.0,0.5849344377547736,1.7095933073088054,-63.71205940182119,144.17085574404834
 0.37905194372756196,0.3592009401091069,1.8777469633837494,5.027415195484914,-166.19138704327543,0.0,0.5647251639860409,1.7707728710752446,-62.67991861173326,147.34129140651933
